"Event"|"Site"|"Date"|"Round"|"White"|"Black"|"Result"|"WhiteElo"|"BlackElo"|"Moves"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"1"|"suliborski30"|"MarkoniDescartes95"|"1-0"|"994"|"264"|"e4 Nc6 Nf3 d5 exd5 Qxd5 Nc3 Qe6+ Be2 Nf6 O-O Qd7 Re1 e5 Bb5 Bb4 Rxe5+ Nxe5 Bxd7+ Bxd7 Nxe5 Bxc3 bxc3 O-O-O d4 Ne4 Bb2 f6 Nf7 Rde8 Nxh8 Rxh8 Qd3 Ng5 h4 Ne6 Re1 Re8 d5 Nc5 Rxe8+ Bxe8 Qf5+ Nd7 Qxh7 g5 Qg8 Kd8 c4 c6 dxc6 bxc6 Qe6 c5 Bxf6+ Nxf6 Qxf6+ Kd7 Qxg5 a5 Qxc5 Ke6 Qxa5 Bd7 Qg5 Kd6 h5"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"2"|"suliborski30"|"Skaquero"|"1-0"|"1014"|"1089"|"e4 e6 Nf3 f6 Bc4 d6 d4 c6 d5 b5 Bb3 Bd7 Nc3 e5 dxc6 Bxc6 Nd5 a5 a3 a4 Ba2 Ne7 Be3 Bxd5 exd5 g5 b3 Bh6 Nh4 gxh4 Bxh6 Rg8 Qh5+ Kd7 Qxh4 Rxg2 Qh3+ Nf5 Qxg2 Nxh6 Qh3+ Kc7 Qxh6 Nd7 Qxh7 axb3 Bxb3 b4 a4 Ra5 Qe4 Nc5 Qxb4 Kd7 O-O Nxb3 cxb3 Rxd5 Qb7+ Qc7 Qxd5 f5 Qf7+ Kd8 Qxc7+ Kxc7 Rfc1+ Kd7 Rc2 Ke6 Rac1 e4 Rc8 f4 Re8+ Kd7 Rcc8 e3 Ra8 exf2+ Kxf2 Kc6 Kf3 Kd5 Kxf4 Kd4 Kf3 d5 Ke2 Kc3 Red8 d4 Ra5 Kb4 Rad5 Ka3 Rxd4 Kb2 Rd3 Kc2 R8d4 Kb2 Rd2+ Ka3 a5 Kxb3 a6 Kc3 a7 Kb3 a8=Q Kc3 Rd6 Kb3 Rc6 Kb4 Rb6+ Kc5 Rb8 Kc4 Rc8+"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"3"|"CaptainRobertFalconScott"|"suliborski30"|"1-0"|"1191"|"1006"|"d4 d5 Bf4 e6 e3 Nf6 c3 g6 Nf3 Bg7 h3 O-O Bd3 Re8 Nbd2 Nfd7 O-O e5 dxe5 Nxe5 Nxe5 Bxe5 Bxe5 Rxe5 Nf3 Re8 Re1 Be6 Nd4 Bd7 Qf3 Nc6 Qxd5 Nxd4 exd4 c6 Qf3 Rxe1+ Rxe1 Qc7 Bc4 Rf8 Re7 Bf5 Rxc7"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"4"|"suliborski30"|"rebane62"|"0-1"|"997"|"1145"|"e4 e5 Nf3 Nc6 Bb5 d6 Bxc6+ bxc6 c3 Bg4 d4 exd4 cxd4 Nf6 Qa4 Qd7 e5 Nd5 O-O Bxf3 Re1 Be7 exd6 cxd6 gxf3 O-O Nc3 Nb6 Qc2 Bf6 Be3 Qh3 Kh1 Qxf3+ Kg1 Qh3 Qe2 Rfe8 Nd1 Bxd4 Bxd4 Rxe2 Rxe2 Qg4+ Kf1 Qxd4 Ne3 g6 Rd1 Qf6 Ng4 Qg5 f3 h5"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"5"|"papiesz1"|"suliborski30"|"0-1"|"858"|"1006"|"e4 c5 Nc3 Nc6 Bc4 e6 f4 Nf6 d3 d5 exd5 exd5 Bb5 d4 Ne4 Nxe4 dxe4 Qh4+ g3 Bg4 Nf3 Qh5 Rf1 O-O-O Qd3 a6 Bxc6 bxc6 Qxa6+ Kd7 Ne5+ Ke8 Qxc6+ Bd7 Nxd7 Rxd7 Bd2 Qxh2 O-O-O Qxg3 Qc8+ Rd8 Qc6+ Rd7 Qc8+ Ke7 f5 d3 f6+ gxf6 Bf4 dxc2 Qxc5+ Ke8 Bxg3 Bxc5"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"6"|"suliborski30"|"uncleyoda"|"0-1"|"997"|"1141"|"e4 e6 Nf3 d5 Bb5+ Bd7 Bxd7+ Nxd7 e5 c5 d4 cxd4 Qxd4 Bc5 Qa4 Ne7 O-O O-O b4 Bb6 b5 Ng6 Re1 Qc7 Bb2 Rac8 Na3 Qc5 Bd4 Qc7 Bxb6 Nxb6 Qg4 Nd7 Ng5 Ndxe5 Qh3 h6 Nxe6 fxe6 Qxe6+ Qf7 Rxe5 Nxe5 Qxe5 Qxf2+ Kh1 Qf1+ Rxf1 Rxf1#"
"3|0 Blitz"|"Chess.com"|"2022-11-09"|"7"|"ashishdubey111"|"suliborski30"|"0-1"|"1070"|"1013"|"e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 d6 d4 exd4 Nxd4 Be6 Nxc6 bxc6 Bxe6 fxe6 Bg5 Be7 f4 O-O e5 h6 exf6 Bxf6 Bxf6 Qxf6 g3 e5 O-O exf4 Rxf4 Qg5 Rg4 Qe3+ Kh1 Rf2 Qd4 Qf3+ Kg1 Qg2#"
"Live Chess"|"Chess.com"|"2022-11-09"|"-"|"SPECTRER-B"|"suliborski30"|"0-1"|"862"|"1021"|"e4 c5 Nc3 Nc6 Bc4 e6 Nge2 Nf6 d3 d5 exd5 exd5 Bb5 d4 Ne4 Nxe4 dxe4 Bd7 Bd3 Be7 b3 O-O O-O Re8 f3 Bg5 Ng3 Ne5 f4 Nxd3 cxd3 Bh6 Ba3 b6 Bb2 Qh4 f5 Be3+ Kh1 Bf4 Qe1 Bxf5 Rxf4 Qxf4 Nxf5 g6 Ng3 h5 Rd1 h4 Bc1 Qg4 h3 Qxg3 Qxg3 hxg3"
"5|0 Blitz"|"Chess.com"|"2022-11-10"|"1"|"montaserrasheed"|"suliborski30"|"1-0"|"492"|"997"|"d4 d5 Nc3 Nf6 Bf4 e6 Nb5 Na6 e3 c6 Nc3 Bb4 Nf3 O-O Bg5 h6 Bxf6 Qxf6 Qd3 Re8 O-O-O c5 a3 c4 Qd2 Bxc3 Qxc3 b5 Qa5 b4 axb4 Rb8 b5 Nc5 Qxa7 Bd7 Qxc5 Rxb5 Qd6 Reb8 Kd2 Rxb2 Qxd7 Qg6 Rc1 c3+ Kxc3 Rxc2+ Rxc2"
"Live Chess"|"Chess.com"|"2022-11-10"|"-"|"suliborski30"|"pvvardhanbaldua"|"1-0"|"1288"|"1199"|"e4 e6 Nf3 b6 d4 Bb7 Nc3 d6 Bd3 Nd7 O-O Ne7 Re1 Ng6 b3 Be7 Bb2 Bf6 e5 dxe5 dxe5 Ngxe5 Nxe5 Bxe5 Qg4 O-O Bxh7+ Kxh7 Re3 Nf6 Rh3+ Kg8 Qh4 Re8 Qh8#"
"Live Chess"|"Chess.com"|"2022-11-11"|"-"|"Qbzzz"|"suliborski30"|"1-0"|"956"|"983"|"d4 d5 c4 e6 cxd5 exd5 Nf3 Nf6 Bg5 Be7 Nc3 b6 g3 c5 dxc5 bxc5 e3 O-O Bg2 Re8 O-O Bb7 Qb3 Qb6 Ne5 h6 Bxf6 Bxf6 Ng4 Bxc3 bxc3 h5 Bxd5 Bc6 Bxc6"
"3|0 Blitz"|"Chess.com"|"2022-11-11"|"1"|"suliborski30"|"AshishSharma14"|"1-0"|"1001"|"1184"|"d4 Nf6 c4 g6 Nf3 d5 e3 Bg7 Nc3 O-O Be2 Re8 O-O Nc6 Re1 e5 Qb3 exd4 Nxd4 Nxd4 exd4 dxc4 Qxc4 Ne4 Nxe4 Rxe4 Be3 Be6 Qc2 Qd5 Bf3 Bf5 Bxe4 Bxe4 Qxc7 Bxg2 Qg3 Be4 b3 Bxd4 Bxd4 Qxd4 Rad1 Qb4 Qf4 Bc2 Qxb4 Bxd1 Rxd1 Rb8 Qd6 Rc8 Qf6 Re8 Rd8 Rxd8 Qxd8+ Kg7 Qd4+"
"3|0 Blitz"|"Chess.com"|"2022-11-11"|"2"|"krieger666999"|"suliborski30"|"0-1"|"1159"|"1018"|"d4 d5 c4 Nf6 Nc3 Bf5 Bg5 e6 Nf3 Be7 Ne5 Nc6 cxd5 exd5 Nxc6 bxc6 e3 O-O Be2 h6 Bf4 c5 O-O c6 Be5 cxd4 exd4 Ne4 f3 Nxc3 bxc3 Bg5 Qe1 Qe8 Qg3 Be3+ Kh1 f6 Bf4 Bxf4 Qxf4 Bh7 Rae1 Rf7 Qd6 Re7 Rf2 Rd8 Qf4 Kf7 Qd2 g5 g4 Rb8 a4 Rb3 c4 dxc4 Bxc4+ Kg6 Rxe7 Rb1+ Rf1 Rxf1+ Bxf1 Qxe7 Bd3+ Kg7 Bxh7 Kxh7 Qd3+ Kg7 Kg2 c5 dxc5 Qxc5 Qd7+ Kg6 Qxa7 Qxa7 a5 Qxa5 h3 Qa2+ Kg3 h5 gxh5+ Kxh5 h4 Qe6 Kf2 Qh3 Ke3 Qxh4 Ke2 g4 fxg4+ Qxg4+ Kd3 f5 Kc3 f4 Kd2 f3 Ke1 Qg3+ Kf1 Qg2+ Ke1 f2+ Kd1 f1=Q#"
"3|0 Blitz"|"Chess.com"|"2022-11-11"|"3"|"RakhymzhanAgimanov"|"suliborski30"|"0-1"|"1099"|"1032"|"d4 d5 Nf3 Bf5 a3 Nf6 b3 g6 Bb2 Bg7 Nbd2 O-O e3 e6 Be2 Be4 O-O Nc6 c4 Ne7 c5 c6 b4 b6 Nxe4 Nxe4 Nd2 bxc5 bxc5 Rb8 Rb1 Nxd2 Qxd2 Nf5 Bd3 Re8 Bxf5 exf5 Qe2 Qa5 Qd3 Qa4 h3 Rb3 Qc2 Rxa3 Bxa3 Qxc2 Bb4 Qe4 Ba5 Bh6 Bc7 Bxe3 fxe3 Qxe3+ Kh1 Qxd4 Bd6 Re6 Rb7 a5 Rc7 a4 Rxc6 a3 Ra6 Qc4 Ra1 Qxa6 Rc1 a2 Ra1 Rxd6 cxd6 Qxd6 Rxa2 d4 Rd2 d3 Kg1 Qd4+ Kf1 Qe3 Ra2 d2 Rxd2 Qxd2 Kg1 Qd3 Kh2 f4 h4 f5 g3 h6 Kh3 fxg3 h5 gxh5 Kh4 Qf3 Kh3 Qg4+ Kg2 h4 Kh1 Qf3+ Kg1 g2 Kh2 Qf1 Kh3 Qh1#"
"3|0 Blitz"|"Chess.com"|"2022-11-11"|"4"|"suliborski30"|"KIA13451345"|"0-1"|"1024"|"1133"|"e4 e5 Nf3 d6 Nc3 Be7 d4 exd4 Nxd4 Nf6 Bf4 O-O Bd3 Nfd7 Qf3 Bg5 Bxg5 Qxg5 h4 Qf6 Qxf6 Nxf6 O-O-O Nc6 Nxc6 bxc6 Rde1 Be6 Kb1 Ng4 Re2 Nf6 Ba6 Bc8 Bxc8 Rfxc8 e5 dxe5 Rxe5 a5 Rc5 Ra6 h5 Nd7 Rc4 Nb6 Re4 Nd5 Rhe1 h6 Re8+ Rxe8 Rxe8+ Kh7 Nxd5 cxd5 b3 Rc6 Re7 Kg8 g4 Kf8 Re3 f6 c3 Kf7 Kb2 Re6 Rxe6 Kxe6 f4 f5 g5 hxg5 fxg5 Kf7 Ka3 f4 Ka4 f3 Kxa5 f2 b4 f1=Q b5 Qa1 Kb4 Qxa2 Kc5 Qc4#"
"10|0 Rapid"|"Chess.com"|"2022-11-13"|"2"|"suliborski30"|"alopikon"|"1-0"|"1390"|"1334"|"d4 d5 c4 Nf6 Nf3 e6 e3 Ne4 Nc3 Bb4 Bd2 Bxc3 bxc3 O-O Bd3 Nd7 O-O c6 Re1 Re8 Qc2 Ndf6 a4 a5 c5 Qc7 c4 h6 h3 g5 Ne5 Kh8 Rf1 Rg8 f4 g4 hxg4 Rxg4 Nxg4 Nxg4 Bxe4 Bd7 Bd3 Rg8 Rf3 Nf6 Rh3 h5 Be2 Kg7 Rg3+ Kf8 Rxg8+ Nxg8 Bxh5 Ke7 Qd1 Nf6 Bf3 Ne4 Bxe4 dxe4 Be1 Kd8 Bh4+ Kc8 Qh5 Kb8 Qxf7 Ka7 Qf6 Be8 Qe5 Qf7 d5 Qd7 d6 Qf7 Qd4 Qd7 Qe5"
"3|0 Blitz"|"Chess.com"|"2022-11-14"|"1"|"viktor0400"|"suliborski30"|"0-1"|"601"|"1026"|"e4 c5 d4 cxd4 c3 Nc6 Bc4 dxc3 Nh3 cxb2 Bxb2 e6 O-O Nf6 Re1 Bb4 Bc3 d5 exd5 Nxd5 Bxg7 Bxe1 Bxh8 Bc3 Bxd5 Bxa1 Bxc6+ bxc6 Qxd8+ Kxd8 Na3 Bxh8"
"3|0 Blitz"|"Chess.com"|"2022-11-14"|"2"|"nerdy_knight64"|"suliborski30"|"1-0"|"1164"|"1019"|"d4 d5 Nf3 Nf6 e3 c5 Be2 e6 O-O Be7 h3 O-O b3 b6 Bb2 Bb7 Nbd2 Nbd7 c4 Qc7 Rc1 Bd6 cxd5 exd5 dxc5 bxc5 b4 c4 Bc3 Ba6 a4 Rab8 b5 Bc8 Nd4 Ba3 Ra1 Bd6 Nc6 Bh2+ Kh1 Rb6 Ne7+ Kh8 Nf3 Bd6 Nxd5 Nxd5 Qxd5 Bb7 Qg5 f6 Qg4 Ne5 Nxe5 Bxe5 Bxe5 Qxe5 Qxc4 Bd5 Qg4 f5 Qb4 Rg6 Qxf8+ Bg8 Bc4"
"3|0 Blitz"|"Chess.com"|"2022-11-14"|"3"|"suliborski30"|"wuektvata"|"1-0"|"1022"|"670"|"d4 d5 c4 dxc4 Nf3 Nf6 e3 Nc6 Bxc4 Bg4 Qb3 Na5 Bxf7+ Kd7 Ne5+ Kc8 Be6+ Nd7 Bxd7+ Bxd7 Qd5 e6 Qxd7+ Qxd7 Nxd7 Kxd7 Bd2 Nc4 b3 Nxd2 Nxd2 Bb4 O-O-O Rhe8 Nc4 e5 Nxe5+ Kd6 Nf7+ Ke6 Ng5+ Kf6 Nxh7+ Kg6 Kb2 Kxh7 a3 Bd6 h4 Rf8 f4 c5 Kc3 cxd4+ Rxd4 Bc5 Rd7 Bxe3 Rxb7 Rac8+ Kd3 Bxf4 Rxa7 Rfe8 Rf1 Rcd8+ Kc4 Re4+ Kc5 Be3+ Kb5 Rd5+ Kc6 Rc5+ Kd6 Bf4+ Kxc5 Be3+ Kd5 Bxa7 Kxe4 Kh6 Rf7 Kg6 Rxa7 Kf6 Kd5 g5 hxg5+ Kxg5 b4 Kg4 b5 Kg3 b6 Kxg2 b7 Kf3 b8=Q Ke3 Ra4 Kd3 Qb3+ Ke2 Rc4 Kd2 Rc2+ Kd1 Qb1#"
"3|0 Blitz"|"Chess.com"|"2022-11-14"|"4"|"suliborski30"|"Jeskho"|"0-1"|"1014"|"1108"|"e4 e5 Nc3 d6 f4 Qh4+ g3 Qf6 Nge2 exf4 Nd5 Qd8 Nexf4 Ne7 Nc3 Nbc6 d4 Bd7 d5 Ne5 Nd3 N7g6 Be2 Be7 h4 O-O h5 Nxd3+ cxd3 Ne5 d4 Bg5 dxe5 Bxc1 Qxc1 dxe5 h6 g6 Qe3 f5 O-O-O fxe4 Nxe4 Bf5 Nc3 Qd6 Bd3 e4 Nxe4 Bxe4 Bxe4 Qa6 Qd4 Rf7 Rhf1 Raf8 Rxf7 Rxf7 d6 Qxa2"
"Live Chess"|"Chess.com"|"2022-11-17"|"-"|"suliborski30"|"elmere37080166"|"0-1"|"1313"|"1370"|"d4 c5 d5 e6 c4 Nf6 Nc3 exd5 cxd5 d6 e4 Be7 Nf3 Qa5 Bd2 Qb6 Bb5+ Bd7 Bxd7+ Nbxd7 Qb3 Qc7 O-O O-O Nb5 Qc8 Ba5 b6 Bc3 Nxe4 Rfe1 f5 Qc2 Ne5 Bxe5 dxe5 Rxe4 fxe4 Qxe4 Bf6 Nxe5 Re8 Nd6 Rxe5 Qxe5 Bxe5 Nxc8 Rxc8 Re1 Bxb2 Re7 c4 d6 Rd8 d7 Kf8 Re2 Bd4 Re8+ Rxe8 dxe8=Q+ Kxe8 Kf1 c3 Ke2 Ke7 Kd3 Bf6 g4 b5 f4 b4 g5 c2 Kxc2 Bc3 Kb3 Ke6 a4 a5 Kc4 Kf5 Kb5 Kxf4 Kxa5 b3+ Kb6 b2 a5 b1=Q+ Ka7 Bxa5"
"Live Chess"|"Chess.com"|"2022-11-18"|"-"|"imsheikhshafiq"|"suliborski30"|"0-1"|"837"|"1020"|"e4 c5 c3 Nf6 d3 e6 Nf3 d5 e5 Ng4 d4 cxd4 cxd4 f6 Nc3 Nc6 exf6 Nxf6 Ne5 Bb4 Nxc6 bxc6 Bd2 O-O Qf3 Ne4 Nxe4 Rxf3 gxf3 dxe4 fxe4 Bxd2+ Kxd2 Qg5+ Ke1 Qa5+ Ke2 Ba6+ Ke3 Qg5+ f4 Qa5 Bxa6 Qxa6 Rhg1 Rb8 b3 Rb4 Rg5 Qb6"
"Live Chess"|"Chess.com"|"2022-11-18"|"-"|"carrrrrmen"|"suliborski30"|"1-0"|"594"|"1002"|"e4 c5 Nf3 Nc6 Bc4 Nf6 h3 e6 e5 Nd5 d3 d6 exd6 Bxd6 Bd2 Nb6 Bb5 O-O Bxc6 bxc6 Nc3 c4 d4 c5 Be3 cxd4 Bxd4 Bb7 a3 Re8 Bxg7 Kxg7 Qd4+ f6 O-O-O e5 Qg4+ Kf7 Qh5+ Ke7 Qxh7+ Ke6 Rhe1 Rh8 Qxb7 e4 Nd4+ Ke5 Qxe4#"
"Live Chess"|"Chess.com"|"2022-11-19"|"-"|"suliborski30"|"ShadDoneWin"|"1-0"|"1016"|"1132"|"d4 d5 c4 c5 Nf3 dxc4 e3 cxd4 Nxd4 e5 Nf3 Qxd1+ Kxd1 b5 Nxe5 Bd6 Nxc4 bxc4 Bxc4 Nf6 b3 O-O Ba3 Bxa3 Nxa3 Rd8+ Ke2 Nc6 Nb5 Ba6 Nc7 Bxc4+ bxc4 Rac8 Nb5 Nb4 Nxa7 Rxc4 a3 Rd2+ Kxd2 Rc2+ Kd1"
"Live Chess"|"Chess.com"|"2022-11-19"|"-"|"besketbol"|"suliborski30"|"1-0"|"898"|"1002"|"e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Nxf7 Kxf7 Qf3+ Ke8 Bxd5 Bd6 Qf7#"
"Live Chess"|"Chess.com"|"2022-11-21"|"-"|"pauluslisita-58"|"suliborski30"|"0-1"|"1189"|"1354"|"e4 c5 e5 Nc6 Nf3 d6 exd6 exd6 Nc3 Nf6 h3 Be7 Bc4 O-O d3 Be6 O-O a6 a3 b5 Bxe6 fxe6 Ne2 d5 Nf4 Qd7 Re1 e5 Nxe5 Nxe5 Rxe5 Bd6 Rg5 Bxf4 Bxf4 h6 Rg6 Qf5 Rxf6 Rxf6 Bg3 Raf8 Qd2 g5 Re1 h5 f3 Qg6 Re5 Rf5 d4 Rxe5 dxe5 d4 Qe2 c4 e6 d3 cxd3 Qxd3 Qe5 Rf5 Qb8+ Rf8 Qb6 Qb1+ Kh2 Re8 Qe3 Qf5 Bd6 Rxe6 Qd2 Rxd6 Qxd6 Qf4+ Kg1 Qxd6"
"Live Chess"|"Chess.com"|"2022-11-21"|"-"|"suliborski30"|"pauluslisita-58"|"0-1"|"1277"|"1200"|"e4 e5 Nf3 Nc6 Nc3 a6 g3 Nf6 Bg2 Bc5 Nxe5 Nxe5 d4 Bxd4 Qxd4 Nc6 Qe3 Ng4 Qf4 d6 h3 Nf6 Nd5 Nd4 Nb4 O-O c3 Ne6 Qh4 a5 Nd5 Nc5 Bg5 Nd3+ Ke2 Ne5 Bxf6 gxf6 Nxf6+ Kg7 Qg5+ Ng6 Nh5+ Kh8 Qxd8 Rxd8 Nf6 Kg7 Nd5 Rd7 f4 b6 f5 Ne5 f6+ Kg6 h4 Bb7 h5+ Kg5 Raf1 Re8 Rf5+ Kh6 Nf4 Nc4 b3 Na3 Kd3 Re5 Rxe5 dxe5+ Nd5 c6 c4 cxd5 exd5 b5 c5 b4 c6 Bxc6"
"Live Chess"|"Chess.com"|"2022-11-22"|"-"|"Utzee"|"suliborski30"|"1-0"|"1070"|"994"|"e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 Qf3 Nce7 Nxf7"
"Live Chess"|"Chess.com"|"2022-11-22"|"-"|"suliborski30"|"wiktorgacek"|"1-0"|"1001"|"889"|"e4 c5 Nf3 Nc6 Bc4 e6 d4 cxd4 Nxd4 Nge7 O-O g6 Re1 Bg7 Be3 O-O c3 a6 Nd2 b5 Bb3 Qb6 a4 Nxd4 axb5 Qxb5 Bxd4 Bxd4 cxd4 Nc6 d5 Nd4 Ba4 Qxb2 Nc4 Qb8 Rb1 Nb5 e5 exd5 Qxd5 Bb7 Rxb5 axb5 Qxb5 Bc6 Qxb8 Rfxb8 Bxc6 dxc6 Nd6 Rb2 h4 c5 f4 Rc2 g4 Rd8 f5 c4 h5 g5 e6 fxe6 fxe6 Rxd6 e7 Rd4 e8=Q+ Kg7 Qe5+ Kh6 Qf6#"
"Live Chess"|"Chess.com"|"2022-11-24"|"-"|"doArante"|"suliborski30"|"0-1"|"898"|"1008"|"e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bb4 d3 Bxc3+ bxc3 d5 exd5 Nxd5 Bxd5 Qxd5 c4 Qe6 Bb2 O-O O-O Re8 Re1 b6 Bxe5 Qg6 Bxc7 Bg4 Nh4 Bxd1 Nxg6 Rxe1#"
"Live Chess"|"Chess.com"|"2022-11-26"|"-"|"suliborski30"|"QZilla1982"|"0-1"|"1226"|"1258"|"d4 d5 Nf3 Bg4 c4 e6 Nc3 Bb4"
"Live Chess"|"Chess.com"|"2022-11-26"|"-"|"besnik6699"|"suliborski30"|"1-0"|"1103"|"1001"|"e4 c6 d4 d5 e5 f6 Qh5+ g6 Qe2 fxe5 Qxe5 Nf6 Bg5 Bg7 c3 Bf5 f3 Nbd7 Qe3 O-O Nd2 Re8 g4 Be6"
"Live Chess"|"Chess.com"|"2022-11-26"|"-"|"suliborski30"|"besnik6699"|"0-1"|"994"|"1109"|"d4 c5 d5 b5 e3 a6 c4 Bb7 e4 Nf6 Bd3 e5 Nf3 Bd6 O-O O-O Bg5 h6 Bxf6 Qxf6 Nc3 Be7 a3 b4 axb4 cxb4 Ne2 Bc5 Ng3 d6 b3 Bc8 Qd2 Bg4 Ne1 a5 Kh1 Nd7 f4 Qh4 Nf3 Bxf3 Rxf3 Bd4 Nf5 Qf6 Nxd4 exd4 e5 dxe5 fxe5 Qg5 Qxg5 hxg5 Rg3 f6 exf6 gxf6 Bf5 Nc5 Rh3 Rf7 Rxa5 Rxa5 d6 Ra1+"
"5|0 Blitz"|"Chess.com"|"2022-11-30"|"3"|"Typowy3_D"|"suliborski30"|"1-0"|"634"|"977"|"c4 e5 Nc3 Nf6 g3 b6 Bg2 Nc6 e3 Bb7 Nge2 Be7 O-O O-O d4 d6 b4 Nxb4 Bxb7 Rb8 Bg2 Ng4 dxe5 Bh4 exd6 cxd6 Ba3 a5 Rb1 Na6"
"Live Chess"|"Chess.com"|"2022-12-03"|"-"|"ophidia777"|"suliborski30"|"1-0"|"1105"|"971"|"e4 c5 d4 cxd4 c3 Nc6 Bc4 e5 Nf3 Nf6 cxd4 exd4 e5 Ne4 O-O d5 Bb3 Bc5 Nbd2 Nxd2 Bxd2 Be6 Ng5 Qd7 Kh1 O-O Qc2 Bf5 Qxc5 Nxe5 Bxd5 Nd3 Qxd4 h6 Nf3 Rfd8 Bc3 Kf8 Qxg7+ Ke8 Bb3 Be6 Ne5 Nxf2+ Rxf2 Qb5"
"Live Chess"|"Chess.com"|"2022-12-06"|"-"|"Sov8"|"suliborski30"|"1-0"|"1022"|"962"|"e4 c5 c4 Nc6 Nf3 e6 d4 cxd4 Nxd4 d6 Nxc6 bxc6 Be2 Nf6 Nc3 d5 cxd5 cxd5 Bb5+ Bd7 Bxd7+ Qxd7 e5 Ng8 Qa4 Qxa4 Nxa4 Bb4+ Bd2 Bxd2+ Kxd2 Ne7 g4 Ng6 Rhe1 O-O b3 f5 exf6 gxf6 Rxe6 Nf4 Rd6 f5 g5 Rae8 Nc3 a5 Rh1 Re5 h4 Rc8 h5 Rc5 g6 hxg6 hxg6 Re6 Rd8+ Kg7 Rd7+ Kxg6 Rg1+ Kf6 Rd8 Ke5 Re1+ Kd4 Rxe6 Nxe6 Ne2+ Ke5 Re8 f4 f3 Rc6 Kd3 Kf5 Nd4+ Nxd4 Kxd4 Rc2 a4 Rd2+ Kc5 d4 Kc4 d3 Kc3 Rd1 Rf8+ Ke5 Re8+ Kd5 Rd8+ Kc5 Rxd3 Rxd3+ Kxd3 Kb4 Kc2 Ka3 Kc3 Ka2 b4 axb4+ Kxb4 Kb2 a5 Kc2 a6 Kd3 a7 Ke3 a8=Q"
"Live Chess"|"Chess.com"|"2022-12-06"|"-"|"Deter1984"|"suliborski30"|"1-0"|"1001"|"953"|"e4 e5 Bc4 Nf6 d4 Nxe4 dxe5 Bc5 Bxf7+ Kxf7 Qd5+ Ke8 Qxe4 Nc6 Nf3 d5 exd6+ Kd7 dxc7 Qxc7 O-O Re8 Qf5+ Kd6 Bf4+ Ke7"
